"Chr","Start","End","Conc","Conc_alpha","Conc_beta","Fold","p-value","FDR","Called1","Called2"
"chr2",179468169,179468369,3.13,4.35,0.04,4.3,3.62e-10,2.01e-07,2,0
"chr1",60863066,60863266,3.13,4.34,0.04,4.3,3.7e-10,2.04e-07,2,2
"chr13",83745007,83745207,4.45,5.49,2.71,2.79,3.77e-10,2.07e-07,2,3
"chr7",79148999,79149199,3.52,4.68,1.04,3.63,3.79e-10,2.07e-07,2,2
"chrX",15753796,15753996,4.19,0.94,4.87,-3.93,3.94e-10,2.14e-07,2,3
"chr1",57963698,57963898,3.12,4.33,0.04,4.29,3.95e-10,2.14e-07,2,1
"chr10",12821429,12821629,4.68,5.7,3.04,2.66,4.07e-10,2.2e-07,2,3
"chr6",12750590,12750790,3.89,4.99,1.78,3.21,4.12e-10,2.22e-07,2,0
"chr18",61719275,61719475,3.8,4.91,1.63,3.29,4.18e-10,2.24e-07,2,3
"chr13",8202723,8202923,3.88,4.99,1.78,3.21,4.2e-10,2.24e-07,2,2
"chr15",75616441,75616641,4.5,5.53,2.78,2.76,4.26e-10,2.26e-07,2,3
"chr12",31302881,31303081,4.35,5.4,2.54,2.85,4.33e-10,2.29e-07,2,3
"chr3",66985757,66985957,4.23,5.29,2.36,2.93,4.51e-10,2.38e-07,2,3
"chr10",20170599,20170799,4.59,5.61,2.92,2.69,4.58e-10,2.41e-07,2,3
"chr11",80476744,80476944,4.16,5.23,2.26,2.97,4.61e-10,2.42e-07,2,3
"chr7",133793626,133793826,4.5,5.53,2.78,2.75,4.64e-10,2.42e-07,2,3
"chr7",134773864,134774064,4.68,5.69,3.04,2.65,4.69e-10,2.43e-07,2,3
"chr1",154500568,154500768,4.03,5.11,2.04,3.07,4.69e-10,2.43e-07,2,3
"chr6",5496259,5496459,3.13,4.34,0.04,4.3,4.85e-10,2.5e-07,2,1
"chr16",20696075,20696275,4.02,5.11,2.04,3.07,4.88e-10,2.51e-07,2,2
"chr7",123500497,123500697,3.51,4.66,1.04,3.62,5.16e-10,2.64e-07,2,3
"chr16",63278411,63278611,3.85,-0.06,4.54,-4.61,5.21e-10,2.66e-07,0,3
"chr15",97276698,97276898,3.62,4.76,1.26,3.49,5.24e-10,2.66e-07,2,2
"chr15",38197866,38198066,3.11,4.32,0.04,4.28,5.39e-10,2.73e-07,2,1
"chr10",22701969,22702169,3.79,4.9,1.63,3.28,5.45e-10,2.73e-07,2,2
"chr7",127776935,127777135,3.37,4.54,0.78,3.76,5.45e-10,2.73e-07,2,2
"chr7",143461059,143461259,4.15,5.22,2.26,2.95,5.45e-10,2.73e-07,2,3
"chr13",55471519,55471719,3.11,4.32,0.04,4.28,5.51e-10,2.75e-07,2,1
"chr10",85871779,85871979,3.5,4.65,1.04,3.61,5.61e-10,2.78e-07,2,1
"chr7",88484705,88484905,3.24,4.44,0.46,3.98,5.63e-10,2.78e-07,2,1
"chr13",51726221,51726421,3.95,5.04,1.92,3.12,5.71e-10,2.81e-07,2,2
"chr8",36613852,36614052,4.79,5.79,3.21,2.57,5.99e-10,2.93e-07,2,3
"chr5",70842271,70842471,5.1,6.07,3.63,2.44,6e-10,2.93e-07,2,3
"chr15",65751269,65751469,3.09,4.31,0.04,4.26,6e-10,2.93e-07,2,2
"chr2",129800499,129800699,4.33,5.37,2.54,2.83,6.17e-10,2.99e-07,2,3
"chr18",23310001,23310201,3.6,4.74,1.26,3.47,6.18e-10,2.99e-07,2,2
"chr15",77970871,77971071,3.08,4.29,0.04,4.25,6.4e-10,3.07e-07,2,0
"chrX",110814204,110814404,4.58,5.6,2.92,2.68,6.4e-10,3.07e-07,2,3
"chr1",82834665,82834865,3.38,4.55,0.78,3.77,6.41e-10,3.07e-07,2,0
"chr11",50210149,50210349,3.86,4.96,1.78,3.18,6.46e-10,3.08e-07,2,0
"chr2",135766797,135766997,4.01,5.09,2.04,3.05,6.65e-10,3.16e-07,2,3
"chr18",87359753,87359953,3.83,-0.06,4.52,-4.58,6.77e-10,3.2e-07,0,3
"chr8",75549348,75549548,3.83,-0.06,4.52,-4.58,6.77e-10,3.2e-07,0,3
"chr1",183345354,183345554,3.37,4.54,0.78,3.76,6.83e-10,3.2e-07,2,2
"chr14",35009212,35009412,4.48,5.51,2.78,2.73,6.84e-10,3.2e-07,2,3
"chr3",68558944,68559144,3.36,4.53,0.78,3.75,7.12e-10,3.33e-07,2,2
"chr3",38625607,38625807,3.68,4.81,1.46,3.35,7.23e-10,3.36e-07,2,3
"chr3",108146010,108146210,4.2,5.26,2.36,2.9,7.65e-10,3.55e-07,2,3
"chr11",102467127,102467327,3.24,4.43,0.46,3.97,7.68e-10,3.55e-07,2,2
"chr3",37724235,37724435,3.93,5.02,1.92,3.1,7.88e-10,3.63e-07,2,2
"chr2",152735044,152735244,3.85,4.95,1.78,3.17,8.02e-10,3.68e-07,2,2
"chr9",50728062,50728262,3.48,4.63,1.04,3.58,8.16e-10,3.71e-07,2,1
"chr11",120824405,120824605,3.67,4.79,1.46,3.33,8.16e-10,3.71e-07,2,2
"chr7",141123091,141123291,4.31,5.35,2.54,2.81,8.2e-10,3.71e-07,2,3
"chr15",94655993,94656193,3.09,4.3,0.04,4.26,8.24e-10,3.71e-07,2,1
